id;uf_destino;cidade;macro_regiao;dfiscal;origem;uf_origem;ID cidade;distancia_txt;dist_value;duracao_txt;duracao_value;status
16813;SP;CAIUÁ;PRESIDENTE PRUDENTE;SP 3509106;ITAPETININGA;SP;SP 3509106/ITAPETININGA;483 km;483280;6 horas 18 minutos;22699;OK
16814;SP;CAJAMAR;METROP. DE SÃO PAULO;SP 3509205;ITAPETININGA;SP;SP 3509205/ITAPETININGA;192 km;191500;2 horas 30 minutos;8972;OK
16815;SP;CAJATI;LITORAL SUL PAULISTA;SP 3509254;ITAPETININGA;SP;SP 3509254/ITAPETININGA;182 km;181710;3 horas 9 minutos;11318;OK
16816;SP;CAJOBI;SÃO J. DO RIO PRETO;SP 3509304;ITAPETININGA;SP;SP 3509304/ITAPETININGA;430 km;430236;5 horas 7 minutos;18390;OK
16817;SP;CAJURU;RIBEIRÃO PRETO;SP 3509403;ITAPETININGA;SP;SP 3509403/ITAPETININGA;382 km;382424;4 horas 25 minutos;15891;OK
16818;SP;CAMPINA DO MONTE ALEGRE;ITAPETININGA;SP 3509452;ITAPETININGA;SP;SP 3509452/ITAPETININGA;63,1 km;63072;1 hora 3 minutos;3781;OK
16819;SP;CAMPINAS;CAMPINAS;SP 3509502;ITAPETININGA;SP;SP 3509502/ITAPETININGA;171 km;170843;2 horas 12 minutos;7898;OK
16820;SP;CAMPO LIMPO PAULISTA;MACRO MET. PAULISTA;SP 3509601;ITAPETININGA;SP;SP 3509601/ITAPETININGA;189 km;189105;2 horas 35 minutos;9318;OK
16821;SP;CAMPOS DO JORDÃO;VALE DO PARAÍBA;SP 3509700;ITAPETININGA;SP;SP 3509700/ITAPETININGA;358 km;358373;4 horas 27 minutos;16024;OK
16822;SP;CAMPOS NOVOS PAULISTA;ASSIS;SP 3509809;ITAPETININGA;SP;SP 3509809/ITAPETININGA;274 km;274278;3 horas 46 minutos;13533;OK
16823;SP;CANANÉIA;LITORAL SUL PAULISTA;SP 3509908;ITAPETININGA;SP;SP 3509908/ITAPETININGA;212 km;211662;3 horas 39 minutos;13129;OK
16824;SP;CANAS;VALE DO PARAÍBA;SP 3509957;ITAPETININGA;SP;SP 3509957/ITAPETININGA;375 km;374700;4 horas 38 minutos;16688;OK
16825;SP;CÂNDIDO MOTA;ASSIS;SP 3510005;ITAPETININGA;SP;SP 3510005/ITAPETININGA;292 km;292332;4 horas 5 minutos;14705;OK
16826;SP;CÂNDIDO RODRIGUES;RIBEIRÃO PRETO;SP 3510104;ITAPETININGA;SP;SP 3510104/ITAPETININGA;359 km;359022;4 horas 17 minutos;15436;OK
16827;SP;CANITAR;ASSIS;SP 3510153;ITAPETININGA;SP;SP 3510153/ITAPETININGA;211 km;211197;2 horas 57 minutos;10639;OK
16828;SP;CAPÃO BONITO;ITAPETININGA;SP 3510203;ITAPETININGA;SP;SP 3510203/ITAPETININGA;59,1 km;59079;53 minutos;3160;OK
16829;SP;CAPELA DO ALTO;MACRO MET. PAULISTA;SP 3510302;ITAPETININGA;SP;SP 3510302/ITAPETININGA;59,5 km;59505;53 minutos;3192;OK
16830;SP;CAPIVARI;PIRACICABA;SP 3510401;ITAPETININGA;SP;SP 3510401/ITAPETININGA;126 km;125727;1 hora 47 minutos;6421;OK
16831;SP;CARAGUATATUBA;VALE DO PARAÍBA;SP 3510500;ITAPETININGA;SP;SP 3510500/ITAPETININGA;350 km;349972;4 horas 36 minutos;16573;OK
16832;SP;CARAPICUÍBA;METROP. DE SÃO PAULO;SP 3510609;ITAPETININGA;SP;SP 3510609/ITAPETININGA;161 km;161274;2 horas 5 minutos;7522;OK
16833;SP;CARDOSO;SÃO J. DO RIO PRETO;SP 3510708;ITAPETININGA;SP;SP 3510708/ITAPETININGA;571 km;571493;6 horas 41 minutos;24037;OK
16834;SP;CASA BRANCA;CAMPINAS;SP 3510807;ITAPETININGA;SP;SP 3510807/ITAPETININGA;312 km;312077;3 horas 42 minutos;13338;OK
16835;SP;CÁSSIA DOS COQUEIROS;RIBEIRÃO PRETO;SP 3510906;ITAPETININGA;SP;SP 3510906/ITAPETININGA;396 km;395671;4 horas 34 minutos;16457;OK
16836;SP;CASTILHO;ARAÇATUBA;SP 3511003;ITAPETININGA;SP;SP 3511003/ITAPETININGA;550 km;549776;6 horas 23 minutos;22952;OK
16837;SP;CATANDUVA;SÃO J. DO RIO PRETO;SP 3511102;ITAPETININGA;SP;SP 3511102/ITAPETININGA;394 km;393609;4 horas 41 minutos;16836;OK
16838;SP;CATIGUÁ;SÃO J. DO RIO PRETO;SP 3511201;ITAPETININGA;SP;SP 3511201/ITAPETININGA;405 km;405487;4 horas 43 minutos;17009;OK
16839;SP;CEDRAL;SÃO J. DO RIO PRETO;SP 3511300;ITAPETININGA;SP;SP 3511300/ITAPETININGA;436 km;435966;5 horas 2 minutos;18123;OK
16840;SP;CERQUEIRA CÉSAR;BAURU;SP 3511409;ITAPETININGA;SP;SP 3511409/ITAPETININGA;181 km;181480;2 horas 37 minutos;9405;OK
16841;SP;CERQUILHO;ITAPETININGA;SP 3511508;ITAPETININGA;SP;SP 3511508/ITAPETININGA;81,1 km;81051;1 hora 7 minutos;4031;OK
16842;SP;CESÁRIO LANGE;ITAPETININGA;SP 3511607;ITAPETININGA;SP;SP 3511607/ITAPETININGA;80,7 km;80733;1 hora 17 minutos;4625;OK
16843;SP;CHARQUEADA;PIRACICABA;SP 3511706;ITAPETININGA;SP;SP 3511706/ITAPETININGA;165 km;164684;2 horas 24 minutos;8634;OK
16844;SP;CHAVANTES;ASSIS;SP 3557204;ITAPETININGA;SP;SP 3557204/ITAPETININGA;203 km;203458;2 horas 51 minutos;10260;OK
16845;SP;CLEMENTINA;ARAÇATUBA;SP 3511904;ITAPETININGA;SP;SP 3511904/ITAPETININGA;421 km;420802;4 horas 54 minutos;17643;OK
16846;SP;COLINA;RIBEIRÃO PRETO;SP 3512001;ITAPETININGA;SP;SP 3512001/ITAPETININGA;413 km;412728;4 horas 50 minutos;17375;OK
16847;SP;COLÔMBIA;RIBEIRÃO PRETO;SP 3512100;ITAPETININGA;SP;SP 3512100/ITAPETININGA;465 km;464929;5 horas 26 minutos;19572;OK
16848;SP;CONCHAL;PIRACICABA;SP 3512209;ITAPETININGA;SP;SP 3512209/ITAPETININGA;222 km;221614;2 horas 53 minutos;10363;OK
16849;SP;CONCHAS;BAURU;SP 3512308;ITAPETININGA;SP;SP 3512308/ITAPETININGA;104 km;104350;1 hora 34 minutos;5641;OK
16850;SP;CORDEIRÓPOLIS;PIRACICABA;SP 3512407;ITAPETININGA;SP;SP 3512407/ITAPETININGA;188 km;187544;2 horas 28 minutos;8858;OK
16851;SP;COROADOS;ARAÇATUBA;SP 3512506;ITAPETININGA;SP;SP 3512506/ITAPETININGA;404 km;403725;4 horas 45 minutos;17072;OK
16852;SP;CORONEL MACEDO;ITAPETININGA;SP 3512605;ITAPETININGA;SP;SP 3512605/ITAPETININGA;187 km;186613;2 horas 26 minutos;8789;OK
16853;SP;CORUMBATAÍ;PIRACICABA;SP 3512704;ITAPETININGA;SP;SP 3512704/ITAPETININGA;209 km;209414;2 horas 44 minutos;9825;OK
16854;SP;COSMÓPOLIS;CAMPINAS;SP 3512803;ITAPETININGA;SP;SP 3512803/ITAPETININGA;212 km;211813;2 horas 39 minutos;9553;OK
16855;SP;COSMORAMA;SÃO J. DO RIO PRETO;SP 3512902;ITAPETININGA;SP;SP 3512902/ITAPETININGA;520 km;520014;6 horas 3 minutos;21791;OK
16856;SP;COTIA;METROP. DE SÃO PAULO;SP 3513009;ITAPETININGA;SP;SP 3513009/ITAPETININGA;147 km;147336;2 horas 7 minutos;7592;OK
16857;SP;CRAVINHOS;RIBEIRÃO PRETO;SP 3513108;ITAPETININGA;SP;SP 3513108/ITAPETININGA;323 km;323092;3 horas 53 minutos;14009;OK
16858;SP;CRISTAIS PAULISTA;RIBEIRÃO PRETO;SP 3513207;ITAPETININGA;SP;SP 3513207/ITAPETININGA;445 km;445056;5 horas 13 minutos;18804;OK
16859;SP;CRUZÁLIA;ASSIS;SP 3513306;ITAPETININGA;SP;SP 3513306/ITAPETININGA;336 km;335923;4 horas 28 minutos;16053;OK
16860;SP;CRUZEIRO;VALE DO PARAÍBA;SP 3513405;ITAPETININGA;SP;SP 3513405/ITAPETININGA;394 km;394331;4 horas 51 minutos;17456;OK
16861;SP;CUBATÃO;BAIXADA SANTISTA;SP 3513504;ITAPETININGA;SP;SP 3513504/ITAPETININGA;254 km;253975;3 horas 11 minutos;11462;OK
16862;SP;CUNHA;VALE DO PARAÍBA;SP 3513603;ITAPETININGA;SP;SP 3513603/ITAPETININGA;400 km;400329;5 horas 0 minutos;18029;OK
16863;SP;DESCALVADO;ARARAQUARA;SP 3513702;ITAPETININGA;SP;SP 3513702/ITAPETININGA;267 km;267324;3 horas 21 minutos;12085;OK
16864;SP;DIADEMA;METROP. DE SÃO PAULO;SP 3513801;ITAPETININGA;SP;SP 3513801/ITAPETININGA;195 km;194889;2 horas 41 minutos;9634;OK
16865;SP;DIRCE REIS;SÃO J. DO RIO PRETO;SP 3513850;ITAPETININGA;SP;SP 3513850/ITAPETININGA;523 km;522583;6 horas 15 minutos;22501;OK
16866;SP;DIVINOLÂNDIA;CAMPINAS;SP 3513900;ITAPETININGA;SP;SP 3513900/ITAPETININGA;348 km;348289;4 horas 10 minutos;14979;OK
16867;SP;DOBRADA;ARARAQUARA;SP 3514007;ITAPETININGA;SP;SP 3514007/ITAPETININGA;321 km;321450;3 horas 53 minutos;13995;OK
16868;SP;DOIS CÓRREGOS;BAURU;SP 3514106;ITAPETININGA;SP;SP 3514106/ITAPETININGA;220 km;219894;3 horas 1 minuto;10848;OK
16869;SP;DOLCINÓPOLIS;SÃO J. DO RIO PRETO;SP 3514205;ITAPETININGA;SP;SP 3514205/ITAPETININGA;557 km;557010;6 horas 32 minutos;23521;OK
16870;SP;DOURADO;ARARAQUARA;SP 3514304;ITAPETININGA;SP;SP 3514304/ITAPETININGA;266 km;265773;3 horas 37 minutos;13015;OK
16871;SP;DRACENA;PRESIDENTE PRUDENTE;SP 3514403;ITAPETININGA;SP;SP 3514403/ITAPETININGA;529 km;528846;6 horas 31 minutos;23458;OK
16872;SP;DUARTINA;BAURU;SP 3514502;ITAPETININGA;SP;SP 3514502/ITAPETININGA;279 km;279320;3 horas 30 minutos;12597;OK
16873;SP;DUMONT;RIBEIRÃO PRETO;SP 3514601;ITAPETININGA;SP;SP 3514601/ITAPETININGA;345 km;344761;4 horas 13 minutos;15176;OK
16874;SP;ECHAPORÃ;MARÍLIA;SP 3514700;ITAPETININGA;SP;SP 3514700/ITAPETININGA;318 km;317935;4 horas 13 minutos;15206;OK
16875;SP;ELDORADO;LITORAL SUL PAULISTA;SP 3514809;ITAPETININGA;SP;SP 3514809/ITAPETININGA;174 km;173544;3 horas 28 minutos;12466;OK
16876;SP;ELIAS FAUSTO;CAMPINAS;SP 3514908;ITAPETININGA;SP;SP 3514908/ITAPETININGA;148 km;147946;1 hora 57 minutos;7027;OK
16877;SP;ELISIÁRIO;SÃO J. DO RIO PRETO;SP 3514924;ITAPETININGA;SP;SP 3514924/ITAPETININGA;407 km;406854;4 horas 49 minutos;17316;OK
16878;SP;EMBAÚBA;SÃO J. DO RIO PRETO;SP 3514957;ITAPETININGA;SP;SP 3514957/ITAPETININGA;429 km;428699;5 horas 5 minutos;18280;OK
16879;SP;EMBU DAS ARTES;METROP. DE SÃO PAULO;SP 3515004;ITAPETININGA;SP;SP 3515004/ITAPETININGA;180 km;180263;2 horas 18 minutos;8252;OK
16880;SP;EMBU-GUAÇU;METROP. DE SÃO PAULO;SP 3515103;ITAPETININGA;SP;SP 3515103/ITAPETININGA;205 km;205482;2 horas 51 minutos;10242;OK
16881;SP;EMILIANÓPOLIS;PRESIDENTE PRUDENTE;SP 3515129;ITAPETININGA;SP;SP 3515129/ITAPETININGA;460 km;460193;5 horas 54 minutos;21238;OK
16882;SP;ENGENHEIRO COELHO;CAMPINAS;SP 3515152;ITAPETININGA;SP;SP 3515152/ITAPETININGA;233 km;232523;2 horas 53 minutos;10407;OK
16883;SP;ESPÍRITO SANTO DO PINHAL;CAMPINAS;SP 3515186;ITAPETININGA;SP;SP 3515186/ITAPETININGA;276 km;276497;3 horas 22 minutos;12117;OK
16884;SP;ESPÍRITO SANTO DO TURVO;ASSIS;SP 3515194;ITAPETININGA;SP;SP 3515194/ITAPETININGA;236 km;235995;2 horas 55 minutos;10525;OK
16885;SP;ESTIVA GERBI;CAMPINAS;SP 3557303;ITAPETININGA;SP;SP 3557303/ITAPETININGA;253 km;253237;3 horas 2 minutos;10913;OK
16886;SP;ESTRELA DO NORTE;PRESIDENTE PRUDENTE;SP 3515301;ITAPETININGA;SP;SP 3515301/ITAPETININGA;450 km;449592;5 horas 40 minutos;20392;OK
16887;SP;ESTRELA D'OESTE;SÃO J. DO RIO PRETO;SP 3515202;ITAPETININGA;SP;SP 3515202/ITAPETININGA;546 km;545639;6 horas 22 minutos;22920;OK
16888;SP;EUCLIDES DA CUNHA PAULISTA;PRESIDENTE PRUDENTE;SP 3515350;ITAPETININGA;SP;SP 3515350/ITAPETININGA;559 km;558772;7 horas 5 minutos;25491;OK
16889;SP;FARTURA;ASSIS;SP 3515400;ITAPETININGA;SP;SP 3515400/ITAPETININGA;190 km;189996;2 horas 43 minutos;9759;OK
16890;SP;FERNANDO PRESTES;RIBEIRÃO PRETO;SP 3515608;ITAPETININGA;SP;SP 3515608/ITAPETININGA;367 km;366593;4 horas 22 minutos;15719;OK
16891;SP;FERNANDÓPOLIS;SÃO J. DO RIO PRETO;SP 3515509;ITAPETININGA;SP;SP 3515509/ITAPETININGA;560 km;560253;6 horas 23 minutos;23002;OK
16892;SP;FERNÃO;MARÍLIA;SP 3515657;ITAPETININGA;SP;SP 3515657/ITAPETININGA;299 km;298696;3 horas 38 minutos;13080;OK
16893;SP;FERRAZ DE VASCONCELOS;METROP. DE SÃO PAULO;SP 3515707;ITAPETININGA;SP;SP 3515707/ITAPETININGA;228 km;228498;3 horas 6 minutos;11171;OK
16894;SP;FLORA RICA;PRESIDENTE PRUDENTE;SP 3515806;ITAPETININGA;SP;SP 3515806/ITAPETININGA;472 km;471549;5 horas 55 minutos;21292;OK
16895;SP;FLOREAL;SÃO J. DO RIO PRETO;SP 3515905;ITAPETININGA;SP;SP 3515905/ITAPETININGA;501 km;501083;5 horas 50 minutos;20988;OK
16896;SP;FLÓRIDA PAULISTA;PRESIDENTE PRUDENTE;SP 3516002;ITAPETININGA;SP;SP 3516002/ITAPETININGA;466 km;466435;6 horas 5 minutos;21877;OK
16897;SP;FLORÍNIA;ASSIS;SP 3516101;ITAPETININGA;SP;SP 3516101/ITAPETININGA;336 km;336014;4 horas 27 minutos;15993;OK
16898;SP;FRANCA;RIBEIRÃO PRETO;SP 3516200;ITAPETININGA;SP;SP 3516200/ITAPETININGA;429 km;428562;5 horas 5 minutos;18313;OK
16899;SP;FRANCISCO MORATO;METROP. DE SÃO PAULO;SP 3516309;ITAPETININGA;SP;SP 3516309/ITAPETININGA;201 km;200817;2 horas 44 minutos;9852;OK
16900;SP;FRANCO DA ROCHA;METROP. DE SÃO PAULO;SP 3516408;ITAPETININGA;SP;SP 3516408/ITAPETININGA;195 km;194643;2 horas 39 minutos;9565;OK
16901;SP;GABRIEL MONTEIRO;ARAÇATUBA;SP 3516507;ITAPETININGA;SP;SP 3516507/ITAPETININGA;444 km;444256;5 horas 22 minutos;19328;OK
16902;SP;GÁLIA;MARÍLIA;SP 3516606;ITAPETININGA;SP;SP 3516606/ITAPETININGA;310 km;310471;3 horas 45 minutos;13522;OK
16903;SP;GARÇA;MARÍLIA;SP 3516705;ITAPETININGA;SP;SP 3516705/ITAPETININGA;318 km;318018;3 horas 48 minutos;13706;OK
16904;SP;GASTÃO VIDIGAL;SÃO J. DO RIO PRETO;SP 3516804;ITAPETININGA;SP;SP 3516804/ITAPETININGA;485 km;485245;5 horas 50 minutos;20973;OK
16905;SP;GAVIÃO PEIXOTO;ARARAQUARA;SP 3516853;ITAPETININGA;SP;SP 3516853/ITAPETININGA;288 km;288234;3 horas 52 minutos;13930;OK
16906;SP;GENERAL SALGADO;SÃO J. DO RIO PRETO;SP 3516903;ITAPETININGA;SP;SP 3516903/ITAPETININGA;505 km;504955;5 horas 55 minutos;21316;OK
16907;SP;GETULINA;BAURU;SP 3517000;ITAPETININGA;SP;SP 3517000/ITAPETININGA;376 km;375847;4 horas 40 minutos;16775;OK
16908;SP;GLICÉRIO;ARAÇATUBA;SP 3517109;ITAPETININGA;SP;SP 3517109/ITAPETININGA;400 km;400270;4 horas 46 minutos;17168;OK
16909;SP;GUAIÇARA;BAURU;SP 3517208;ITAPETININGA;SP;SP 3517208/ITAPETININGA;345 km;345207;4 horas 11 minutos;15075;OK
16910;SP;GUAIMBÊ;BAURU;SP 3517307;ITAPETININGA;SP;SP 3517307/ITAPETININGA;358 km;358151;4 horas 25 minutos;15916;OK
