uf_destino;cidade;macro_regiao;dfiscal;origem;uf_origem;distancia_txt;dist_value;duracao_txt;duracao_value;Status
AM;TEFÉ;AMAZONAS;AM 1304203;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;UARINI;AMAZONAS;AM 1304260;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;ANAMÃ;AMAZONAS;AM 1300086;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;ANORI;AMAZONAS;AM 1300102;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;BERURI;AMAZONAS;AM 1300631;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;CAAPIRANGA;AMAZONAS;AM 1300839;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;COARI;AMAZONAS;AM 1301209;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;CODAJÁS;AMAZONAS;AM 1301308;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;AUTAZES;AMAZONAS;AM 1300300;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;CAREIRO;AMAZONAS;AM 1301100;BELA VISTA DE GOIÁS;GO;3.175 km;3174914;1 dia 19 horas;153781;OK
AM;CAREIRO DA VÁRZEA;AMAZONAS;AM 1301159;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;IRANDUBA;AMAZONAS;AM 1301852;BELA VISTA DE GOIÁS;GO;3.338 km;3337800;1 dia 22 horas;165672;OK
AM;MANACAPURU;AMAZONAS;AM 1302504;BELA VISTA DE GOIÁS;GO;3.397 km;3397479;1 dia 23 horas;168062;OK
AM;MANAQUIRI;AMAZONAS;AM 1302553;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;MANAUS;AMAZONAS;AM 1302603;BELA VISTA DE GOIÁS;GO;3.298 km;3297561;1 dia 21 horas;162964;OK
AM;PRESIDENTE FIGUEIREDO;AMAZONAS;AM 1303536;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;RIO PRETO DA EVA;AMAZONAS;AM 1303569;BELA VISTA DE GOIÁS;GO;3.376 km;3375705;1 dia 23 horas;167458;OK
AM;ITACOATIARA;AMAZONAS;AM 1301902;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;ITAPIRANGA;AMAZONAS;AM 1302009;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;NOVA OLINDA DO NORTE;AMAZONAS;AM 1303106;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;SILVES;AMAZONAS;AM 1304005;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;URUCURITUBA;AMAZONAS;AM 1304401;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;BARREIRINHA;AMAZONAS;AM 1300508;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;BOA VISTA DO RAMOS;AMAZONAS;AM 1300680;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;MAUÉS;AMAZONAS;AM 1302900;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
