uf_destino;cidade;macro_regiao;dfiscal;origem;uf_origem;distancia_txt;dist_value;duracao_txt;duracao_value
SP;ITU;MACRO MET. PAULISTA;SP 3523909;ITAPETININGA;SP;;;;
SP;ITUPEVA;MACRO MET. PAULISTA;SP 3524006;ITAPETININGA;SP;;;;
SP;ITUVERAVA;RIBEIRÃO PRETO;SP 3524105;ITAPETININGA;SP;;;;
SP;JABORANDI;RIBEIRÃO PRETO;SP 3524204;ITAPETININGA;SP;;;;
SP;JABOTICABAL;RIBEIRÃO PRETO;SP 3524303;ITAPETININGA;SP;;;;
SP;JACAREÍ;VALE DO PARAÍBA;SP 3524402;ITAPETININGA;SP;;;;
SP;JACI;SÃO J. DO RIO PRETO;SP 3524501;ITAPETININGA;SP;;;;
SP;JACUPIRANGA;LITORAL SUL PAULISTA;SP 3524600;ITAPETININGA;SP;;;;
SP;JAGUARIÚNA;CAMPINAS;SP 3524709;ITAPETININGA;SP;;;;
SP;JALES;SÃO J. DO RIO PRETO;SP 3524808;ITAPETININGA;SP;;;;
SP;JAMBEIRO;VALE DO PARAÍBA;SP 3524907;ITAPETININGA;SP;;;;
SP;JANDIRA;METROP. DE SÃO PAULO;SP 3525003;ITAPETININGA;SP;;;;
SP;JARDINÓPOLIS;RIBEIRÃO PRETO;SP 3525102;ITAPETININGA;SP;;;;
SP;JARINU;MACRO MET. PAULISTA;SP 3525201;ITAPETININGA;SP;;;;
SP;JAÚ;BAURU;SP 3525300;ITAPETININGA;SP;;;;
SP;JERIQUARA;RIBEIRÃO PRETO;SP 3525409;ITAPETININGA;SP;;;;
SP;JOANÓPOLIS;MACRO MET. PAULISTA;SP 3525508;ITAPETININGA;SP;;;;
SP;JOÃO RAMALHO;PRESIDENTE PRUDENTE;SP 3525607;ITAPETININGA;SP;;;;
SP;JOSÉ BONIFÁCIO;SÃO J. DO RIO PRETO;SP 3525706;ITAPETININGA;SP;;;;
